col1,col2,col3
0.089808572,0.702553625,0.136143342
0.800351321,0.405671915,0.991173913
0.226107166,0.918304051,0.783489595
0.65211859,0.763076424,0.623517264
0.743610414,0.928537308,0.394983854
0.181889716,0.513627558,0.042098245
0.400300198,0.130475256,0.416681533
0.079199239,0.342493092,0.556935801
0.582319181,0.536795594,0.146603435
0.547255608,0.245097685,0.956557436
0.711594976,0.449970465,0.927889631
0.960458236,0.934483296,0.833611744
0.515055065,0.881093664,0.210600759
0.689982354,0.411903485,0.653995195
0.000572894,0.551041378,0.746069327
0.171449523,0.196316837,0.002824761
0.981570981,0.714009395,0.188264672
0.004122521,0.130016401,0.578852098
